sent_id,text,opinions/0/Target/0/0,opinions/0/Target/1/0,opinions/0/Polar_expression/0/0,opinions/0/Polar_expression/1/0,opinions/0/Polarity,opinions/0/Intensity,opinions/0/Source/0/0,opinions/0/Source/1/0,opinions/1/Polar_expression/0/0,opinions/1/Polar_expression/1/0,opinions/1/Polarity,opinions/1/Intensity,opinions/1/Target/0/0,opinions/1/Target/1/0,opinions/2/Target/0/0,opinions/2/Target/1/0,opinions/2/Polar_expression/0/0,opinions/2/Polar_expression/1/0,opinions/2/Polarity,opinions/2/Intensity,opinions/1/Source/0/0,opinions/1/Source/1/0,opinions/2/Source/0/0,opinions/2/Source/1/0,opinions/3/Source/0/0,opinions/3/Source/1/0,opinions/3/Target/0/0,opinions/3/Target/1/0,opinions/3/Polar_expression/0/0,opinions/3/Polar_expression/1/0,opinions/3/Polarity,opinions/3/Intensity,opinions/4/Target/0/0,opinions/4/Target/1/0,opinions/4/Polar_expression/0/0,opinions/4/Polar_expression/1/0,opinions/4/Polarity,opinions/4/Intensity,opinions/5/Source/0/0,opinions/5/Source/1/0,opinions/5/Target/0/0,opinions/5/Target/1/0,opinions/5/Polar_expression/0/0,opinions/5/Polar_expression/1/0,opinions/5/Polarity,opinions/5/Intensity,opinions/4/Source/0/0,opinions/4/Source/1/0,opinions/6/Source/0/0,opinions/6/Source/1/0,opinions/6/Target/0/0,opinions/6/Target/1/0,opinions/6/Polar_expression/0/0,opinions/6/Polar_expression/1/0,opinions/6/Polarity,opinions/6/Intensity,opinions/7/Source/0/0,opinions/7/Source/1/0,opinions/7/Target/0/0,opinions/7/Target/1/0,opinions/7/Polar_expression/0/0,opinions/7/Polar_expression/1/0,opinions/7/Polarity,opinions/7/Intensity,opinions/8/Source/0/0,opinions/8/Source/1/0,opinions/8/Target/0/0,opinions/8/Target/1/0,opinions/8/Polar_expression/0/0,opinions/8/Polar_expression/1/0,opinions/8/Polarity,opinions/8/Intensity,opinions/9/Source/0/0,opinions/9/Source/1/0,opinions/9/Target/0/0,opinions/9/Target/1/0,opinions/9/Polar_expression/0/0,opinions/9/Polar_expression/1/0,opinions/9/Polarity,opinions/9/Intensity,opinions/10/Target/0/0,opinions/10/Target/1/0,opinions/10/Polar_expression/0/0,opinions/10/Polar_expression/1/0,opinions/10/Polarity,opinions/10/Intensity,opinions/11/Target/0/0,opinions/11/Target/1/0,opinions/11/Polar_expression/0/0,opinions/11/Polar_expression/1/0,opinions/11/Polarity,opinions/11/Intensity,opinions/12/Target/0/0,opinions/12/Target/1/0,opinions/12/Polar_expression/0/0,opinions/12/Polar_expression/1/0,opinions/12/Polarity,opinions/12/Intensity,opinions/13/Target/0/0,opinions/13/Target/1/0,opinions/13/Polar_expression/0/0,opinions/13/Polar_expression/1/0,opinions/13/Polarity,opinions/13/Intensity,opinions/14/Target/0/0,opinions/14/Target/1/0,opinions/14/Polar_expression/0/0,opinions/14/Polar_expression/1/0,opinions/14/Polarity,opinions/14/Intensity,opinions/15/Target/0/0,opinions/15/Target/1/0,opinions/15/Polar_expression/0/0,opinions/15/Polar_expression/1/0,opinions/15/Polarity,opinions/15/Intensity,opinions/16/Target/0/0,opinions/16/Target/1/0,opinions/16/Polar_expression/0/0,opinions/16/Polar_expression/1/0,opinions/16/Polarity,opinions/16/Intensity
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-2,Clean sizeable room with good facilities in the part of the hotel we were in .,facilities,30:40,good,25:29,Positive,Standard,we,66:68,Clean,0:5,Positive,Standard,room,15:19,room,15:19,sizeable,6:14,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-3,There were larger and smaller rooms than ours .,rooms,30:35,There were,0:10,Positive,Standard,,,larger,11:17,Positive,Standard,rooms,30:35,rooms,30:35,smaller,22:29,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-4,We were in the 2300 range of rooms .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-5,Food very basic .,Food,0:4,very basic,5:15,Negative,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-6,Although edible it was very very borring .,it,16:18,edible,9:15,Positive,Standard,,,very very borring,23:40,Negative,Strong,it,16:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-7,The all inclusive spirits had a perfume taste to them .,The all inclusive spirits,0:25,a perfume taste,30:45,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-8,Vodka rum brandy whisky although were diffrent had a similar perfume flavouring .,brandy,10:16,perfume flavouring,61:79,Negative,Standard,,,perfume flavouring,61:79,Negative,Standard,whisky,17:23,Vodka,0:5,perfume flavouring,61:79,Negative,Standard,,,,,,,rum,6:9,perfume flavouring,61:79,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-9,I know some people complained .,some people,7:18,complained,19:29,Negative,Standard,I,0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-10,Service of all staff was wonderful .,Service,0:7,wonderful,25:34,Positive,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-11,But a lot of them let you know they wanted tips .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-12,There were a rody russian contingent at the hotel which broke out in fighting on at least one occassion .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00140_d4e884ef214aaa65b7d350a9db39f08a-1,Beautiful honeymoon,honeymoon,10:19,Beautiful,0:9,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00140_d4e884ef214aaa65b7d350a9db39f08a-2,The hotel is easily one of the classiest establishments I have ever had the honor of staying at .,establishments,41:55,one of the classiest,20:40,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00140_d4e884ef214aaa65b7d350a9db39f08a-3,"The staff was extremely friendly , the layout was superb , the architecture was elegant , and the sea was literally a few steps from our hotel room .",the layout,35:45,superb,50:56,Positive,Strong,,,a few steps from our hotel room,116:147,Positive,Strong,the sea,94:101,the architecture,59:75,elegant,80:87,Positive,Standard,,,,,,,The staff,0:9,extremely friendly,14:32,Positive,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00140_d4e884ef214aaa65b7d350a9db39f08a-4,"Beautiful views were only made more beautiful by this hotel 's landscape , architecture , and friendly staff .",views,10:15,Beautiful,0:9,Positive,Standard,,,friendly,94:102,Positive,Standard,staff,103:108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00164_c6d60bf75b0de8d72b7e1c575e04e314-1,Cheap and noisy hotel with good location,location,32:40,good,27:31,Positive,Standard,,,Cheap,0:5,Positive,Standard,hotel,16:21,hotel,16:21,noisy,10:15,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00164_c6d60bf75b0de8d72b7e1c575e04e314-2,"The hotel is located near Place de Opera , in a side street .",The hotel,0:9,located near Place de Opera,13:40,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00164_c6d60bf75b0de8d72b7e1c575e04e314-3,The location is probably the only good thing about this hotel .,The location,0:12,the only good thing,25:44,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
